external_id,unique_id,expiry_days
22133955,S-BMR5GEYA4P,1
22133954,S-YRBPDRO6DL,0
22133952,S-Y5LL3OTRD5,0
22133949,S-NHHOSR2SQT,0
22133946,S-TTC8R6OTID,0
22133940,S-EVQMVDBDSP,0
22133938,S-PIQC1RROXM,0
22133925,S-LRNDRMMIN3,0
22133921,S-R6LERS5STA,0
22133909,S-TYYYOAYSY6,0
22133907,S-ED8RTPT651,0
22133906,S-HA1REPRHSY,0
22133885,S-SAE1SQSOTP,0
22133882,S-NMORA9TMCR,0
22133875,S-EB0DCS814M,0
22133863,S-24RRBITDDY,0
22133837,S-ED8CVBDBHR,0
22133832,S-RRX0SMCLNL,0
22133819,S-0MYPNSEDGB,0
22133794,S-BLSRTRLCMY,0
22133789,S-L2PQP1ZNTR,0
22133782,S-XB2ALTMDE5,0
22133781,S-MTOBBTSYD6,0
22133755,S-4Z96G20DRS,0
22133751,S-TSE8TOMTT9,0
22133741,S-ROCLD1SITM,0
22133739,S-3TRXRQNRTE,0
22133738,S-IMETTRB2YZ,0
22133721,S-SHTRVOCRQD,0
22133716,S-T36BR3DRDD,0
22133711,S-MLYB06YLDC,0
22133708,S-PRNMQTNETB,0
22133706,S-AE530GRXCB,0
22133703,S-DOSSDOOTGD,0
22133678,S-MO3CGEAOVA,0
22133675,S-VE5TBOYDCT,0
22133648,S-4IEMTEBGBP,0
22133642,S-NRDINRRE81,0
22133640,S-7STRXERDYS,0
22133639,S-A1GNOHXOAT,0
22133638,S-ATPN9LYSG0,0
22133624,S-DYBYNMR0SN,0
22133620,S-SEEPAAXTBA,0
22133619,S-S6TOGAERN7,0
22133618,S-RRD4PSB2TT,0
22133617,S-BQBH5DCARY,0
22133613,S-Y9DXO5OMDX,0
22133611,S-1DOYDTRLER,0
22133610,S-RSATTLSTVL,0
22133607,S-OEDN5LC49B,0
22133595,S-RCHEDRZS9N,0
22133580,S-PRPTDBARRD,0
22133568,S-YDNRORABCL,0
22133565,S-PARPNANDET,0
22133563,S-4ISGNRMROR,0
22133562,S-E06RMRSM4P,0
22133561,S-I05A3DXYDR,0
22133559,S-XRD58R7TN8,0
22133556,S-EIYRHRRQBG,0
22133553,S-RRRB0A6TRO,0
22133550,S-8T729R3TOS,0
22133548,S-55EOZR2MNN,0
22133546,S-OR1SB1XOYC,0
22133540,S-O1NO0E5T4N,0
22133518,S-E5MBHLXMTR,0
22133514,S-VSILPGODLR,0
22133513,S-B0SR9C1SRO,0
22133497,S-7MACPRORA2,0
22133494,S-AAASBYYPOT,0
22133470,S-7ARPSBGADD,0
22133468,S-QR09VE7OQS,0
22133466,S-SXNEN7POAL,0
22133465,S-HMIHIPR1OH,0
22133463,S-DBEPIBRACB,0
22133458,S-XY408NLOVB,0
22133457,S-TMLGTPSSOR,0
22133445,S-DTOAOMPSSS,0
22133427,S-XSRMRRZ4OS,0
22133419,S-R3BMVDSSVN,0
22133399,S-VENV9YMRIT,0
22133396,S-CTETRPO1ST,0
22133390,S-CM18PEHYDH,0
22133387,S-MRO8L7S9GS,0
22133380,S-7YV6TMRH8Y,0
22133379,S-TQ058SRBRO,0
22133377,S-GGRCDYMSIR,0
22133376,S-OGDDSH5YE2,0
22133369,S-THOCRYOMCS,0
22133368,S-YAE3SY4T0A,0
22133367,S-0E6AOE0ETR,0
22133349,S-RT45NR6QDL,0
22133321,S-EOYGYDTDZZ,0
22133307,S-RRZCSMSSAA,0
22133295,S-LOMR7ERLAO,0
22133294,S-PBRA91O7RC,0
22133286,S-DPRSPTTSYH,0
22133284,S-CEYOPIQYCL,0
22133281,S-TOYGX6XDHG,0
22133277,S-3RDB1HDTY5,0
22133264,S-N51PYOSTOR,0
22133263,S-9HTLTSRDR9,0
22133261,S-LDYC6MNZL5,0
22133260,S-MV7BDCDNMN,0
22133249,S-5MSRVDOLLP,0
22133241,S-4R7EGONA5S,0
22133238,S-TNTRYSAN3Y,0
22133237,S-DREDRPDMER,0
